species,taxon_id,family,subfamily,genus
Calliophis bivirgatus,8633,Elapidae,Elapinae,Calliophis
Boiga irregularis,92519,Colubridae,Colubrinae,Boiga
Boiga nigriceps,1867089,Colubridae,Colubrinae,Boiga
Telescopus dhara,338837,Colubridae,Colubrinae,Telescopus
Boiga cynodon,39278,Colubridae,Colubrinae,Boiga
Boiga dendrophila dendrophila,2766793,Colubridae,Colubrinae,Boiga
Boiga dendrophila gemmicincta,2766802,Colubridae,Colubrinae,Boiga
Heterodon nasicus,121332,Dipsadidae,NA,Heterodon
Thelotornis mossambicanus,1328036,Colubridae,Colubrinae,Thelotornis
Micrurus mipartitus,430902,Elapidae,Elapinae,Micrurus
Micrurus surinamensis,129470,Elapidae,Elapinae,Micrurus
Micrurus frontalis,129461,Elapidae,Elapinae,Micrurus
Dendroaspis polylepis,8624,Elapidae,Elapinae,Dendroaspis
Dendroaspis angusticeps,8618,Elapidae,Elapinae,Dendroaspis
Dendroaspis viridis,8621,Elapidae,Elapinae,Dendroaspis
Dendroaspis jamesoni jamesoni,2032609,Elapidae,Elapinae,Dendroaspis
Dendroaspis jamesoni kaimosae,8619,Elapidae,Elapinae,Dendroaspis
Micrurus altirostris,129457,Elapidae,Elapinae,Micrurus
Micrurus fulvius,8637,Elapidae,Elapinae,Micrurus
Walterinnesia aegyptia,64182,Elapidae,Elapinae,Walterinnesia
Bungarus candidus,92438,Elapidae,Bungarinae,Bungarus
Psammophis schokari,292864,Lamprophiidae,Psammophiinae,Psammophis
Rhabdophis subminiatus,46271,Colubridae,Natricinae,Rhabdophis
Ahaetulla prasina,499056,Colubridae,Ahaetuliinae,Ahaetulla
Spilotes sulphureus,1899469,Colubridae,Colubrinae,Spilotes
Trimorphodon biscutatus,338818,Colubridae,Colubrinae,Trimorphodon
Hypsiglena sp.,2358255,Dipsadidae,NA,Hypsiglena
Dispholidus typus,46295,Colubridae,Colubrinae,Dispholidus
Boiga trigonata,1296666,Colubridae,Colubrinae,Boiga
Erythrolamprus poecilogyrus,338838,Dipsadidae,NA,Erythrolamprus
Helicops leopardinus,2202396,Dipsadidae,NA,Helicops
Phalotris mertensi,1260334,Dipsadidae,NA,Phalotris
Bungarus flaviceps,8614,Elapidae,Bungarinae,Bungarus
Naja atra,8656,Elapidae,Elapinae,Naja
Atractaspis aterrima,1355159,Lamprophiidae,Atractaspidinae,Atractaspis
Thrasops jacksonii,186611,Colubridae,Colubrinae,Thrasops
Coelognathus radiatus,201391,Colubridae,Colubrinae,Coelognathus
Protobothrops flavoviridis,88087,Viperidae,Crotalinae,Protobothrops
Protobothrops mucrosquamatus,103944,Viperidae,Crotalinae,Protobothrops
Crotalus adamanteus,8729,Viperidae,Crotalinae,Crotalus
Psammophis subtaeniatus,292884,Lamprophiidae,Psammophiinae,Psammophis
Malpolon monspessulanus,184164,Lamprophiidae,Psammophiinae,Malpolon
Azemiops feae,8773,Viperidae,Azemiopinae,Azemiops
Vipera transcaucasiana,235552,Viperidae,Viperinae,Vipera
Pseudocerastes urarachnoides,1353790,Viperidae,Viperinae,Pseudocerastes
Sistrurus catenatus edwardsii,8762,Viperidae,Crotalinae,Sistrurus
Leioheterodon madagascariensis,46577,Lamprophiidae,Pseudoxyrhophiinae,Leioheterodon
Laticauda colubrina,8628,Elapidae,Laticaudinae,Laticauda
Laticauda semifasciata,8631,Elapidae,Laticaudinae,Laticauda
Laticauda crockeri,8629,Elapidae,Laticaudinae,Laticauda
Laticauda laticaudata,8630,Elapidae,Laticaudinae,Laticauda
Chelonia mydas,8469,Cheloniidae,NA,Chelonia
Naja annulifera,96794,Elapidae,Elapinae,Naja
Micrurus nigrocinctus,8635,Elapidae,Elapinae,Micrurus
Micrurus laticollaris,1240351,Elapidae,Elapinae,Micrurus
Micrurus pyrrhocryptus,129468,Elapidae,Elapinae,Micrurus
Naja annulata annulata,8610,Elapidae,Elapinae,Naja
Naja mossambica,8644,Elapidae,Elapinae,Naja
Hemachatus haemachatus,8626,Elapidae,Elapinae,Hemachatus
Naja kaouthia,8649,Elapidae,Elapinae,Naja
Naja naja,35670,Elapidae,Elapinae,Naja
Naja sputatrix,33626,Elapidae,Elapinae,Naja
Naja haje haje,8642,Elapidae,Elapinae,Naja
Naja nivea,8655,Elapidae,Elapinae,Naja
Naja christyi,8611,Elapidae,Elapinae,Naja
Pseudonaja textilis,8673,Elapidae,Acanthophiinae,Pseudonaja
Naja pallida,8658,Elapidae,Elapinae,Naja
Naja melanoleuca,8643,Elapidae,Elapinae,Naja
Naja philippinensis,8659,Elapidae,Elapinae,Naja
Varanus komodoensis,61221,Varanidae,NA,Varanus
Micrurus corallinus,54390,Elapidae,Elapinae,Micrurus
Oxyuranus microlepidotus,111177,Elapidae,Acanthophiinae,Oxyuranus
Anolis carolinensis,28377,Dactyloidae,NA,Anolis
Ophiophagus hannah,8665,Elapidae,Elapinae,Ophiophagus
Pogona vitticeps,103695,Agamidae,Amphibolurinae,Pogona
Dendroaspis polylepis polylepis,8620,Elapidae,Elapinae,Dendroaspis
Alligator sinensis,38654,Alligatoridae,Alligatorinae,Alligator
Gallus gallus,9031,Phasianidae,Phasianinae,Gallus
Bungarus multicinctus,8616,Elapidae,Bungarinae,Bungarus
Homo sapiens,9606,Hominidae,Homininae,Homo
Xenopus tropicalis,8364,Pipidae,Xenopodinae,Xenopus
Oxybelis fulgidus,121355,Colubridae,Colubrinae,Oxybelis
Trimorphodon lambda,356346,Colubridae,Colubrinae,Trimorphodon
Python bivittatus,176946,Pythonidae,NA,Python
Micrurus tener,1114301,Elapidae,Elapinae,Micrurus
Micrurus browni,1675716,Elapidae,Elapinae,Micrurus
Micrurus diastema,39023,Elapidae,Elapinae,Micrurus
Phascolarctos cinereus,38626,Phascolarctidae,NA,Phascolarctos
Ornithorhynchus anatinus,9258,Ornithorhynchidae,NA,Ornithorhynchus
Micrurus clarki,1817999,Elapidae,Elapinae,Micrurus
Micrurus dumerilii,1337871,Elapidae,Elapinae,Micrurus
Boiga dendrophila,46286,Colubridae,Colubrinae,Boiga
Psammophis mossambicus,234064,Lamprophiidae,Psammophiinae,Psammophis
Aspidelaps scutatus,8607,Elapidae,Acanthophiinae,Aspidelaps
Naja nigricollis,8654,Elapidae,Elapinae,Naja
Naja oxiana,8657,Elapidae,Elapinae,Naja
Naja sagittifera,195058,Elapidae,Elapinae,Naja
Bungarus fasciatus,8613,Elapidae,Bungarinae,Bungarus
Oxyuranus scutellatus scutellatus,8667,Elapidae,Acanthophiinae,Oxyuranus
Pseudechis australis,8670,Elapidae,Acanthophiinae,Pseudechis
Hydrophis hardwickii,8781,Hydrophiidae,NA,Hydrophis
Hydrophis stokesii,355677,Hydrophiidae,NA,Hydrophis
Naja anchietae,263737,Elapidae,Elapinae,Naja
Demansia vestigiata,412038,Elapidae,Notechinae,Demansia
Tropidechis carinatus,100989,Elapidae,Notechinae,Tropidechis
Austrelaps superbus,29156,Elapidae,Acanthophiinae,Austrelaps
Drysdalia coronoides,66186,Elapidae,Notechinae,Drysdalia
Acanthophis antarcticus,8605,Elapidae,Acanthophiinae,Acanthophis
Notechis scutatus scutatus,70142,Elapidae,Acanthophiinae,Notechis
Austrelaps labialis,471292,Elapidae,Acanthophiinae,Austrelaps
Causus rhombeatus,44735,Viperidae,Viperinae,Causus
Bungarus flaviceps flaviceps,8615,Elapidae,Bungarinae,Bungarus
Cryptophis nigrescens,292442,Elapidae,NA,Cryptophis
Pseudechis porphyriacus,8671,Elapidae,Acanthophiinae,Pseudechis
Aipysurus laevis,8678,Hydrophiidae,NA,Aipysurus
Hydrophis peronii,8676,Hydrophiidae,NA,Hydrophis
Hydrophis lapemoides,8684,Hydrophiidae,NA,Hydrophis
Hydrophis schistosus,8682,Hydrophiidae,NA,Hydrophis
Hydrophis cyanocinctus,8686,Hydrophiidae,NA,Hydrophis
Hoplocephalus stephensii,196418,Elapidae,Notechinae,Hoplocephalus
Aspidites melanocephalus,51883,Pythonidae,NA,Aspidites
