species,taxon_id,family,subfamily,genus
Cylindrophis ruffus,186578,Cylindrophiidae,NA,Cylindrophis
Sistrurus catenatus,8756,Viperidae,Crotalinae,Sistrurus
Python regius,51751,Pythonidae,NA,Python
Pseudechis rossignolii,1489342,Elapidae,Acanthophiinae,Pseudechis
Pseudonaja modesta,340912,Elapidae,Acanthophiinae,Pseudonaja
Acanthophis wellsi,239747,Elapidae,Acanthophiinae,Acanthophis
Micropechis ikaheca,66188,Elapidae,Notechinae,Micropechis
Notechis scutatus,8663,Elapidae,Acanthophiinae,Notechis
Crotalus viridis,8739,Viperidae,Crotalinae,Crotalus
Deinagkistrodon acutus,36307,Viperidae,Crotalinae,Deinagkistrodon
Hydrophis curtus,355685,Hydrophiidae,NA,Hydrophis
Pantherophis guttatus,94885,Colubridae,Colubrinae,Pantherophis
Thamnophis elegans,35005,Colubridae,Natricinae,Thamnophis
Bos taurus,9913,Bovidae,Bovinae,Bos
Cricetulus griseus,10029,Cricetidae,Cricetinae,Cricetulus
Taeniopygia guttata,59729,Estrildidae,Estrildinae,Taeniopygia
Tyto alba,56313,Tytonidae,NA,Tyto
Mus musculus,10090,Muridae,Murinae,Mus
Opisthocomus hoazin,30419,Opisthocomidae,NA,Opisthocomus
Acinonyx jubatus,32536,Felidae,Acinonychinae,Acinonyx
Bos mutus,72004,Bovidae,Bovinae,Bos
Rattus norvegicus,10116,Muridae,Murinae,Rattus
Tachyglossus aculeatus,9261,Tachyglossidae,NA,Tachyglossus
Tupaia chinensis,246437,Tupaiidae,NA,Tupaia
Chrysochloris asiatica,185453,Chrysochloridae,Chrysochlorinae,Chrysochloris
Ochotona princeps,9978,Ochotonidae,NA,Ochotona
Felis catus,9685,Felidae,Felinae,Felis
Meles meles,9662,Mustelidae,Melinae,Meles
Cacophis squamulosus,505434,Elapidae,NA,Cacophis
Crotalus tigris,88082,Viperidae,Crotalinae,Crotalus
Crotalus scutulatus,8737,Viperidae,Crotalinae,Crotalus
Denisonia devisi,529689,Elapidae,NA,Denisonia
Echiopsis curta,529692,Hydrophiidae,NA,Echiopsis
Furina ornata,529697,Elapidae,NA,Furina
Hemiaspis signata,355698,Elapidae,NA,Hemiaspis
Hoplocephalus bungaroides,83403,Elapidae,Notechinae,Hoplocephalus
Opheodrys aestivus,186591,Colubridae,Colubrinae,Opheodrys
Oxyuranus scutellatus,8668,Elapidae,Acanthophiinae,Oxyuranus
Brachyurophis roperi,1295043,Elapidae,Elapinae,Brachyurophis
Parasuta nigriceps,687874,Elapidae,NA,Parasuta
Vermicella annulata,1295044,Elapidae,NA,Vermicella
Hypsiglena sp. JMG-2014,1550645,Dipsadidae,NA,Hypsiglena
Bothrops jararaca,8724,Viperidae,Crotalinae,Bothrops
Conophis lineatus,666078,Dipsadidae,NA,Conophis
Crotalus cerastes,8746,Viperidae,Crotalinae,Crotalus
Gloydius intermedius,44732,Viperidae,Crotalinae,Gloydius
Malpolon insignitus,292863,Lamprophiidae,Psammophiinae,Malpolon
Micrurus lemniscatus lemniscatus,129467,Elapidae,Elapinae,Micrurus
Micrurus lemniscatus carvalhoi,129465,Elapidae,Elapinae,Micrurus
Micrurus spixii,129469,Elapidae,Elapinae,Micrurus
Naja nubiae,186441,Elapidae,Elapinae,Naja
Naja subfulva,2483192,Elapidae,Elapinae,Naja
Naja siamensis,84476,Elapidae,Elapinae,Naja
Naja haje,8639,Elapidae,Elapinae,Naja
Naja sumatrana,1108807,Elapidae,Elapinae,Naja
Tantilla nigriceps,1651152,Colubridae,Colubrinae,Tantilla
Thamnodynastes strigatus,758883,Dipsadidae,NA,Thamnodynastes
Thamnophis sirtalis,35019,Colubridae,Natricinae,Thamnophis
Tretanorhinus variabilis,121374,Dipsadidae,NA,Tretanorhinus
Xenodon merremii,169861,Dipsadidae,NA,Xenodon
Micrurus tschudii,2527855,Elapidae,Elapinae,Micrurus
Daboia russelii,8707,Viperidae,Viperinae,Daboia
Hydrophis torquatus,747462,Hydrophiidae,NA,Hydrophis
Hydrophis platurus,8688,Hydrophiidae,NA,Hydrophis
Bungarus caeruleus,132961,Elapidae,Bungarinae,Bungarus
Micrurus lemniscatus,129464,Elapidae,Elapinae,Micrurus
Naja samarensis,8660,Elapidae,Elapinae,Naja
Hydrophis ornatus,8685,Hydrophiidae,NA,Hydrophis
